cmp625, 1, BruteForce, 1000, 0.0205, cei1
cmp625, 1, Hybrid_5, 1000, 0.0012, cei1
cmp625, 1, Hybrid_10, 1000, 0.0009, cei1
cmp625, 1, Hybrid_20, 1000, 0.0009, cei1
cmp625, 1, Hybrid_30, 1000, 0.0010, cei1
cmp625, 1, Hybrid_50, 1000, 0.0013, cei1
cmp625, 1, Hybrid_100, 1000, 0.0016, cei1
cmp625, 1, Hybrid_500, 1000, 0.0070, cei1
cmp625, 1, Hybrid_1000, 1000, 0.0198, cei1
cmp625, 1, Hybrid_5000, 1000, 0.0195, cei1
cmp625, 1, NativeSorted, 1000, 0.0001, cei1
cmp625, 1, BruteForce, 2000, 0.0778, cei1
cmp625, 1, Hybrid_5, 2000, 0.0020, cei1
cmp625, 1, Hybrid_10, 2000, 0.0020, cei1
cmp625, 1, Hybrid_20, 2000, 0.0019, cei1
cmp625, 1, Hybrid_30, 2000, 0.0022, cei1
cmp625, 1, Hybrid_50, 2000, 0.0024, cei1
cmp625, 1, Hybrid_100, 2000, 0.0034, cei1
cmp625, 1, Hybrid_500, 2000, 0.0110, cei1
cmp625, 1, Hybrid_1000, 2000, 0.0315, cei1
cmp625, 1, Hybrid_5000, 2000, 0.0748, cei1
cmp625, 1, NativeSorted, 2000, 0.0003, cei1
cmp625, 1, BruteForce, 5000, 0.4766, cei1
cmp625, 1, Hybrid_5, 5000, 0.0055, cei1
cmp625, 1, Hybrid_10, 5000, 0.0053, cei1
cmp625, 1, Hybrid_20, 5000, 0.0054, cei1
cmp625, 1, Hybrid_30, 5000, 0.0057, cei1
cmp625, 1, Hybrid_50, 5000, 0.0065, cei1
cmp625, 1, Hybrid_100, 5000, 0.0092, cei1
cmp625, 1, Hybrid_500, 5000, 0.0344, cei1
cmp625, 1, Hybrid_1000, 5000, 0.0641, cei1
cmp625, 1, Hybrid_5000, 5000, 0.4696, cei1
cmp625, 1, NativeSorted, 5000, 0.0008, cei1
cmp625, 1, BruteForce, 10000, 1.9114, cei1
cmp625, 1, Hybrid_5, 10000, 0.0123, cei1
cmp625, 1, Hybrid_10, 10000, 0.0118, cei1
cmp625, 1, Hybrid_20, 10000, 0.0119, cei1
cmp625, 1, Hybrid_30, 10000, 0.0127, cei1
cmp625, 1, Hybrid_50, 10000, 0.0145, cei1
cmp625, 1, Hybrid_100, 10000, 0.0199, cei1
cmp625, 1, Hybrid_500, 10000, 0.0697, cei1
cmp625, 1, Hybrid_1000, 10000, 0.1233, cei1
cmp625, 1, Hybrid_5000, 10000, 0.5780, cei1
cmp625, 1, NativeSorted, 10000, 0.0017, cei1
cmp625, 1, BruteForce, 50000, 50.4437, cei1
cmp625, 1, Hybrid_5, 50000, 0.0763, cei1
cmp625, 1, Hybrid_10, 50000, 0.0741, cei1
cmp625, 1, Hybrid_20, 50000, 0.0750, cei1
cmp625, 1, Hybrid_30, 50000, 0.0782, cei1
cmp625, 1, Hybrid_50, 50000, 0.0877, cei1
cmp625, 1, Hybrid_100, 50000, 0.1144, cei1
cmp625, 1, Hybrid_500, 50000, 0.3669, cei1
cmp625, 1, Hybrid_1000, 50000, 0.6254, cei1
cmp625, 1, Hybrid_5000, 50000, 2.8381, cei1
cmp625, 1, NativeSorted, 50000, 0.0098, cei1
cmp625, 1, BruteForce, 100000, 213.3224, cei1
cmp625, 1, Hybrid_5, 100000, 0.1680, cei1
cmp625, 1, Hybrid_10, 100000, 0.1629, cei1
cmp625, 1, Hybrid_20, 100000, 0.1643, cei1
cmp625, 1, Hybrid_30, 100000, 0.1714, cei1
cmp625, 1, Hybrid_50, 100000, 0.1899, cei1
cmp625, 1, Hybrid_100, 100000, 0.2455, cei1
cmp625, 1, Hybrid_500, 100000, 0.7401, cei1
cmp625, 1, Hybrid_1000, 100000, 1.4270, cei1
cmp625, 1, Hybrid_5000, 100000, 6.2214, cei1
cmp625, 1, NativeSorted, 100000, 0.0211, cei1
cmp625, 1, BruteForce, 500000, 5951.0231, cei1
cmp625, 1, Hybrid_5, 500000, 0.9622, cei1
cmp625, 1, Hybrid_10, 500000, 0.9398, cei1
cmp625, 1, Hybrid_20, 500000, 0.9474, cei1
cmp625, 1, Hybrid_30, 500000, 0.9818, cei1
cmp625, 1, Hybrid_50, 500000, 1.0719, cei1
cmp625, 1, Hybrid_100, 500000, 1.3423, cei1
cmp625, 1, Hybrid_500, 500000, 3.7846, cei1
cmp625, 1, Hybrid_1000, 500000, 6.8604, cei1
cmp625, 1, Hybrid_5000, 500000, 32.6629, cei1
cmp625, 1, NativeSorted, 500000, 0.1349, cei1
cmp625, 1, BruteForce, 1000000, 28874.7984, cei1
cmp625, 1, Hybrid_5, 1000000, 2.2126, cei1
cmp625, 1, Hybrid_10, 1000000, 2.1581, cei1
cmp625, 1, Hybrid_20, 1000000, 2.1706, cei1
cmp625, 1, Hybrid_30, 1000000, 2.2361, cei1
cmp625, 1, Hybrid_50, 1000000, 2.4181, cei1
cmp625, 1, Hybrid_100, 1000000, 2.9608, cei1
cmp625, 1, Hybrid_500, 1000000, 7.8681, cei1
cmp625, 1, Hybrid_1000, 1000000, 14.0993, cei1
cmp625, 1, Hybrid_5000, 1000000, 66.8212, cei1
cmp625, 1, NativeSorted, 1000000, 0.3131, cei1
cmp625, 2, BruteForce, 1000, 0.0188, cei1
cmp625, 2, Hybrid_5, 1000, 0.0010, cei1
cmp625, 2, Hybrid_10, 1000, 0.0008, cei1
cmp625, 2, Hybrid_20, 1000, 0.0009, cei1
cmp625, 2, Hybrid_30, 1000, 0.0010, cei1
cmp625, 2, Hybrid_50, 1000, 0.0012, cei1
cmp625, 2, Hybrid_100, 1000, 0.0016, cei1
cmp625, 2, Hybrid_500, 1000, 0.0071, cei1
cmp625, 2, Hybrid_1000, 1000, 0.0187, cei1
cmp625, 2, Hybrid_5000, 1000, 0.0183, cei1
cmp625, 2, NativeSorted, 1000, 0.0001, cei1
cmp625, 2, BruteForce, 2000, 0.0758, cei1
cmp625, 2, Hybrid_5, 2000, 0.0020, cei1
cmp625, 2, Hybrid_10, 2000, 0.0019, cei1
cmp625, 2, Hybrid_20, 2000, 0.0020, cei1
cmp625, 2, Hybrid_30, 2000, 0.0021, cei1
cmp625, 2, Hybrid_50, 2000, 0.0024, cei1
cmp625, 2, Hybrid_100, 2000, 0.0035, cei1
cmp625, 2, Hybrid_500, 2000, 0.0128, cei1
cmp625, 2, Hybrid_1000, 2000, 0.0280, cei1
cmp625, 2, Hybrid_5000, 2000, 0.0746, cei1
cmp625, 2, NativeSorted, 2000, 0.0003, cei1
cmp625, 2, BruteForce, 5000, 0.4804, cei1
cmp625, 2, Hybrid_5, 5000, 0.0061, cei1
cmp625, 2, Hybrid_10, 5000, 0.0059, cei1
cmp625, 2, Hybrid_20, 5000, 0.0060, cei1
cmp625, 2, Hybrid_30, 5000, 0.0064, cei1
cmp625, 2, Hybrid_50, 5000, 0.0072, cei1
cmp625, 2, Hybrid_100, 5000, 0.0097, cei1
cmp625, 2, Hybrid_500, 5000, 0.0336, cei1
cmp625, 2, Hybrid_1000, 5000, 0.0755, cei1
cmp625, 2, Hybrid_5000, 5000, 0.4772, cei1
cmp625, 2, NativeSorted, 5000, 0.0007, cei1
cmp625, 2, BruteForce, 10000, 1.9448, cei1
cmp625, 2, Hybrid_5, 10000, 0.0123, cei1
cmp625, 2, Hybrid_10, 10000, 0.0118, cei1
cmp625, 2, Hybrid_20, 10000, 0.0120, cei1
cmp625, 2, Hybrid_30, 10000, 0.0127, cei1
cmp625, 2, Hybrid_50, 10000, 0.0147, cei1
cmp625, 2, Hybrid_100, 10000, 0.0197, cei1
cmp625, 2, Hybrid_500, 10000, 0.0667, cei1
cmp625, 2, Hybrid_1000, 10000, 0.1332, cei1
cmp625, 2, Hybrid_5000, 10000, 0.7524, cei1
cmp625, 2, NativeSorted, 10000, 0.0016, cei1
cmp625, 2, BruteForce, 50000, 50.1901, cei1
cmp625, 2, Hybrid_5, 50000, 0.0741, cei1
cmp625, 2, Hybrid_10, 50000, 0.0722, cei1
cmp625, 2, Hybrid_20, 50000, 0.0729, cei1
cmp625, 2, Hybrid_30, 50000, 0.0763, cei1
cmp625, 2, Hybrid_50, 50000, 0.0857, cei1
cmp625, 2, Hybrid_100, 50000, 0.1123, cei1
cmp625, 2, Hybrid_500, 50000, 0.3531, cei1
cmp625, 2, Hybrid_1000, 50000, 0.7012, cei1
cmp625, 2, Hybrid_5000, 50000, 2.9816, cei1
cmp625, 2, NativeSorted, 50000, 0.0098, cei1
cmp625, 2, BruteForce, 100000, 210.9445, cei1
cmp625, 2, Hybrid_5, 100000, 0.1579, cei1
cmp625, 2, Hybrid_10, 100000, 0.1537, cei1
cmp625, 2, Hybrid_20, 100000, 0.1555, cei1
cmp625, 2, Hybrid_30, 100000, 0.1620, cei1
cmp625, 2, Hybrid_50, 100000, 0.1807, cei1
cmp625, 2, Hybrid_100, 100000, 0.2355, cei1
cmp625, 2, Hybrid_500, 100000, 0.7201, cei1
cmp625, 2, Hybrid_1000, 100000, 1.3867, cei1
cmp625, 2, Hybrid_5000, 100000, 6.0278, cei1
cmp625, 2, NativeSorted, 100000, 0.0212, cei1
cmp625, 2, BruteForce, 500000, 5821.2065, cei1
cmp625, 2, Hybrid_5, 500000, 0.9793, cei1
cmp625, 2, Hybrid_10, 500000, 0.9544, cei1
cmp625, 2, Hybrid_20, 500000, 0.9628, cei1
cmp625, 2, Hybrid_30, 500000, 0.9962, cei1
cmp625, 2, Hybrid_50, 500000, 1.0883, cei1
cmp625, 2, Hybrid_100, 500000, 1.3538, cei1
cmp625, 2, Hybrid_500, 500000, 3.8667, cei1
cmp625, 2, Hybrid_1000, 500000, 6.8766, cei1
cmp625, 2, Hybrid_5000, 500000, 31.9817, cei1
cmp625, 2, NativeSorted, 500000, 0.1353, cei1
cmp625, 2, BruteForce, 1000000, 29784.6932, cei1
cmp625, 2, Hybrid_5, 1000000, 2.1276, cei1
cmp625, 2, Hybrid_10, 1000000, 2.0699, cei1
cmp625, 2, Hybrid_20, 1000000, 2.0905, cei1
cmp625, 2, Hybrid_30, 1000000, 2.1573, cei1
cmp625, 2, Hybrid_50, 1000000, 2.3408, cei1
cmp625, 2, Hybrid_100, 1000000, 2.8881, cei1
cmp625, 2, Hybrid_500, 1000000, 7.8725, cei1
cmp625, 2, Hybrid_1000, 1000000, 14.1875, cei1
cmp625, 2, Hybrid_5000, 1000000, 67.1647, cei1
cmp625, 2, NativeSorted, 1000000, 0.3130, cei1
cmp625, 3, BruteForce, 1000, 0.0187, cei1
cmp625, 3, Hybrid_5, 1000, 0.0009, cei1
cmp625, 3, Hybrid_10, 1000, 0.0009, cei1
cmp625, 3, Hybrid_20, 1000, 0.0009, cei1
cmp625, 3, Hybrid_30, 1000, 0.0009, cei1
cmp625, 3, Hybrid_50, 1000, 0.0011, cei1
cmp625, 3, Hybrid_100, 1000, 0.0017, cei1
cmp625, 3, Hybrid_500, 1000, 0.0062, cei1
cmp625, 3, Hybrid_1000, 1000, 0.0187, cei1
cmp625, 3, Hybrid_5000, 1000, 0.0187, cei1
cmp625, 3, NativeSorted, 1000, 0.0001, cei1
cmp625, 3, BruteForce, 2000, 0.0776, cei1
cmp625, 3, Hybrid_5, 2000, 0.0021, cei1
cmp625, 3, Hybrid_10, 2000, 0.0020, cei1
cmp625, 3, Hybrid_20, 2000, 0.0020, cei1
cmp625, 3, Hybrid_30, 2000, 0.0021, cei1
cmp625, 3, Hybrid_50, 2000, 0.0025, cei1
cmp625, 3, Hybrid_100, 2000, 0.0036, cei1
cmp625, 3, Hybrid_500, 2000, 0.0140, cei1
cmp625, 3, Hybrid_1000, 2000, 0.0205, cei1
cmp625, 3, Hybrid_5000, 2000, 0.0775, cei1
cmp625, 3, NativeSorted, 2000, 0.0003, cei1
cmp625, 3, BruteForce, 5000, 0.4781, cei1
cmp625, 3, Hybrid_5, 5000, 0.0055, cei1
cmp625, 3, Hybrid_10, 5000, 0.0053, cei1
cmp625, 3, Hybrid_20, 5000, 0.0054, cei1
cmp625, 3, Hybrid_30, 5000, 0.0059, cei1
cmp625, 3, Hybrid_50, 5000, 0.0067, cei1
cmp625, 3, Hybrid_100, 5000, 0.0093, cei1
cmp625, 3, Hybrid_500, 5000, 0.0327, cei1
cmp625, 3, Hybrid_1000, 5000, 0.0601, cei1
cmp625, 3, Hybrid_5000, 5000, 0.4781, cei1
cmp625, 3, NativeSorted, 5000, 0.0007, cei1
cmp625, 3, BruteForce, 10000, 1.9085, cei1
cmp625, 3, Hybrid_5, 10000, 0.0129, cei1
cmp625, 3, Hybrid_10, 10000, 0.0125, cei1
