cmp625, 1, BruteForce, 1000, 0.0092, lunaris
cmp625, 1, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_20, 1000, 0.0004, lunaris
cmp625, 1, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_50, 1000, 0.0006, lunaris
cmp625, 1, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 1, Hybrid_500, 1000, 0.0031, lunaris
cmp625, 1, Hybrid_1000, 1000, 0.0093, lunaris
cmp625, 1, Hybrid_5000, 1000, 0.0092, lunaris
cmp625, 1, NativeSorted, 1000, 0.0001, lunaris
cmp625, 1, BruteForce, 2000, 0.0354, lunaris
cmp625, 1, Hybrid_5, 2000, 0.0011, lunaris
cmp625, 1, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 1, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 1, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 1, Hybrid_50, 2000, 0.0013, lunaris
cmp625, 1, Hybrid_100, 2000, 0.0017, lunaris
cmp625, 1, Hybrid_500, 2000, 0.0082, lunaris
cmp625, 1, Hybrid_1000, 2000, 0.0121, lunaris
cmp625, 1, Hybrid_5000, 2000, 0.0355, lunaris
cmp625, 1, NativeSorted, 2000, 0.0001, lunaris
cmp625, 1, BruteForce, 5000, 0.2212, lunaris
cmp625, 1, Hybrid_5, 5000, 0.0030, lunaris
cmp625, 1, Hybrid_10, 5000, 0.0029, lunaris
cmp625, 1, Hybrid_20, 5000, 0.0029, lunaris
cmp625, 1, Hybrid_30, 5000, 0.0031, lunaris
cmp625, 1, Hybrid_50, 5000, 0.0036, lunaris
cmp625, 1, Hybrid_100, 5000, 0.0048, lunaris
cmp625, 1, Hybrid_500, 5000, 0.0148, lunaris
cmp625, 1, Hybrid_1000, 5000, 0.0319, lunaris
cmp625, 1, Hybrid_5000, 5000, 0.2274, lunaris
cmp625, 1, NativeSorted, 5000, 0.0004, lunaris
cmp625, 1, BruteForce, 10000, 0.8913, lunaris
cmp625, 1, Hybrid_5, 10000, 0.0063, lunaris
cmp625, 1, Hybrid_10, 10000, 0.0061, lunaris
cmp625, 1, Hybrid_20, 10000, 0.0062, lunaris
cmp625, 1, Hybrid_30, 10000, 0.0065, lunaris
cmp625, 1, Hybrid_50, 10000, 0.0072, lunaris
cmp625, 1, Hybrid_100, 10000, 0.0098, lunaris
cmp625, 1, Hybrid_500, 10000, 0.0310, lunaris
cmp625, 1, Hybrid_1000, 10000, 0.0557, lunaris
cmp625, 1, Hybrid_5000, 10000, 0.2432, lunaris
cmp625, 1, NativeSorted, 10000, 0.0008, lunaris
cmp625, 1, BruteForce, 50000, 24.4089, lunaris
cmp625, 1, Hybrid_5, 50000, 0.0377, lunaris
cmp625, 1, Hybrid_10, 50000, 0.0367, lunaris
cmp625, 1, Hybrid_20, 50000, 0.0369, lunaris
cmp625, 1, Hybrid_30, 50000, 0.0385, lunaris
cmp625, 1, Hybrid_50, 50000, 0.0426, lunaris
cmp625, 1, Hybrid_100, 50000, 0.0555, lunaris
cmp625, 1, Hybrid_500, 50000, 0.1712, lunaris
cmp625, 1, Hybrid_1000, 50000, 0.3240, lunaris
cmp625, 1, Hybrid_5000, 50000, 1.4782, lunaris
cmp625, 1, NativeSorted, 50000, 0.0049, lunaris
cmp625, 1, BruteForce, 100000, 99.0833, lunaris
