cmp625, 1, BruteForce, 1000, 0.0123, phoenix
cmp625, 1, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_10, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_20, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 1, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 1, Hybrid_500, 1000, 0.0043, phoenix
cmp625, 1, Hybrid_1000, 1000, 0.0119, phoenix
cmp625, 1, Hybrid_5000, 1000, 0.0120, phoenix
cmp625, 1, NativeSorted, 1000, 0.0001, phoenix
cmp625, 1, BruteForce, 2000, 0.0479, phoenix
cmp625, 1, Hybrid_5, 2000, 0.0014, phoenix
cmp625, 1, Hybrid_10, 2000, 0.0013, phoenix
cmp625, 1, Hybrid_20, 2000, 0.0013, phoenix
cmp625, 1, Hybrid_30, 2000, 0.0014, phoenix
cmp625, 1, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 1, Hybrid_100, 2000, 0.0023, phoenix
cmp625, 1, Hybrid_500, 2000, 0.0083, phoenix
cmp625, 1, Hybrid_1000, 2000, 0.0109, phoenix
cmp625, 1, Hybrid_5000, 2000, 0.0446, phoenix
cmp625, 1, NativeSorted, 2000, 0.0002, phoenix
cmp625, 1, BruteForce, 5000, 0.2968, phoenix
cmp625, 1, Hybrid_5, 5000, 0.0039, phoenix
cmp625, 1, Hybrid_10, 5000, 0.0037, phoenix
cmp625, 1, Hybrid_20, 5000, 0.0037, phoenix
cmp625, 1, Hybrid_30, 5000, 0.0039, phoenix
cmp625, 1, Hybrid_50, 5000, 0.0044, phoenix
cmp625, 1, Hybrid_100, 5000, 0.0060, phoenix
cmp625, 1, Hybrid_500, 5000, 0.0191, phoenix
cmp625, 1, Hybrid_1000, 5000, 0.0416, phoenix
cmp625, 1, Hybrid_5000, 5000, 0.2827, phoenix
cmp625, 1, NativeSorted, 5000, 0.0005, phoenix
cmp625, 1, BruteForce, 10000, 1.2051, phoenix
cmp625, 1, Hybrid_5, 10000, 0.0075, phoenix
cmp625, 1, Hybrid_10, 10000, 0.0072, phoenix
cmp625, 1, Hybrid_20, 10000, 0.0072, phoenix
cmp625, 1, Hybrid_30, 10000, 0.0076, phoenix
cmp625, 1, Hybrid_50, 10000, 0.0087, phoenix
cmp625, 1, Hybrid_100, 10000, 0.0117, phoenix
cmp625, 1, Hybrid_500, 10000, 0.0433, phoenix
cmp625, 1, Hybrid_1000, 10000, 0.0683, phoenix
cmp625, 1, Hybrid_5000, 10000, 0.4177, phoenix
cmp625, 1, NativeSorted, 10000, 0.0011, phoenix
cmp625, 1, BruteForce, 50000, 31.2770, phoenix
cmp625, 1, Hybrid_5, 50000, 0.0468, phoenix
cmp625, 1, Hybrid_10, 50000, 0.0451, phoenix
cmp625, 1, Hybrid_20, 50000, 0.0454, phoenix
cmp625, 1, Hybrid_30, 50000, 0.0472, phoenix
cmp625, 1, Hybrid_50, 50000, 0.0524, phoenix
cmp625, 1, Hybrid_100, 50000, 0.0685, phoenix
cmp625, 1, Hybrid_500, 50000, 0.2085, phoenix
cmp625, 1, Hybrid_1000, 50000, 0.3797, phoenix
cmp625, 1, Hybrid_5000, 50000, 1.7748, phoenix
cmp625, 1, NativeSorted, 50000, 0.0068, phoenix
cmp625, 1, BruteForce, 100000, 134.5391, phoenix
cmp625, 1, Hybrid_5, 100000, 0.1017, phoenix
cmp625, 1, Hybrid_10, 100000, 0.0984, phoenix
cmp625, 1, Hybrid_20, 100000, 0.0989, phoenix
cmp625, 1, Hybrid_30, 100000, 0.1027, phoenix
cmp625, 1, Hybrid_50, 100000, 0.1132, phoenix
cmp625, 1, Hybrid_100, 100000, 0.1455, phoenix
